Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
03/08/2023;12:45:00;0             ;304             ;130.5;
03/08/2023;13:00:00;0             ;306             ;133.7;
03/08/2023;13:15:00;0             ;307             ;135.3;
03/08/2023;13:30:00;0             ;308             ;136.9;
03/08/2023;13:45:00;0             ;309             ;138.6;
03/08/2023;14:00:00;0             ;311             ;141.8;
03/08/2023;14:15:00;0             ;313             ;145.2;
03/08/2023;14:30:00;0             ;315             ;148.5;
03/08/2023;14:45:00;0             ;316             ;150.2;
03/08/2023;15:00:00;0             ;317             ;151.9;
03/08/2023;15:15:00;0             ;319             ;155.3;
03/08/2023;15:30:00;0             ;320             ;157;
03/08/2023;15:45:00;0             ;320             ;157;
03/08/2023;16:00:00;0             ;322             ;160.5;
03/08/2023;16:15:00;0             ;323             ;162.2;
03/08/2023;16:30:00;0             ;326             ;167.5;
03/08/2023;16:45:00;0             ;329             ;172.8;
03/08/2023;17:00:00;0             ;332             ;178.2;
03/08/2023;17:15:00;0             ;335             ;183.7;
03/08/2023;17:30:00;0             ;337             ;187.4;
03/08/2023;17:45:00;0             ;340             ;193;
03/08/2023;18:00:00;0             ;340             ;193;
03/08/2023;18:15:00;0             ;342             ;196.8;
03/08/2023;18:30:00;0             ;342             ;196.8;
03/08/2023;18:45:00;0             ;343             ;198.7;
03/08/2023;19:00:00;0             ;343             ;198.7;
03/08/2023;19:15:00;0             ;343             ;198.7;
03/08/2023;19:30:00;0             ;343             ;198.7;
03/08/2023;19:45:00;0             ;343             ;198.7;
03/08/2023;20:00:00;0             ;343             ;198.7;
03/08/2023;20:15:00;0             ;344             ;200.6;
03/08/2023;20:30:00;0             ;344             ;200.6;
03/08/2023;20:45:00;0             ;344             ;200.6;
03/08/2023;21:00:00;0             ;344             ;200.6;
03/08/2023;21:15:00;0             ;344             ;200.6;
03/08/2023;21:30:00;0             ;344             ;200.6;
03/08/2023;21:45:00;0             ;344             ;200.6;
03/08/2023;22:00:00;0             ;344             ;200.6;
03/08/2023;22:15:00;0             ;344             ;200.6;
03/08/2023;22:30:00;0             ;344             ;200.6;
03/08/2023;22:45:00;0             ;344             ;200.6;
03/08/2023;23:00:00;0             ;344             ;200.6;
03/08/2023;23:15:00;0             ;344             ;200.6;
03/08/2023;23:30:00;0             ;344             ;200.6;
03/08/2023;23:45:00;0             ;344             ;200.6;
04/08/2023;00:00:00;0             ;344             ;200.6;
04/08/2023;00:15:00;0             ;344             ;200.6;
04/08/2023;00:30:00;0             ;344             ;200.6;
04/08/2023;00:45:00;0             ;342             ;196.8;
04/08/2023;01:00:00;0             ;336             ;185.6;
04/08/2023;01:15:00;0             ;326             ;167.5;
04/08/2023;01:30:00;0             ;316             ;150.2;
04/08/2023;01:45:00;0             ;305             ;132.1;
04/08/2023;02:00:00;0             ;295             ;116.5;
04/08/2023;02:15:00;0             ;287             ;104.6;
04/08/2023;02:30:00;0             ;279             ;93.3;
04/08/2023;02:45:00;0             ;271             ;82.5;
04/08/2023;03:00:00;0             ;265             ;74.8;
04/08/2023;03:15:00;0             ;260             ;68.6;
04/08/2023;03:30:00;0             ;256             ;63.8;
04/08/2023;03:45:00;0             ;252             ;59.1;
04/08/2023;04:00:00;0             ;249             ;55.7;
04/08/2023;04:15:00;0             ;247             ;53.5;
04/08/2023;04:30:00;0             ;245             ;51.3;
04/08/2023;04:45:00;0             ;245             ;51.3;
04/08/2023;05:00:00;0             ;243             ;49.2;
04/08/2023;05:15:00;0             ;243             ;49.2;
04/08/2023;05:30:00;0             ;242             ;48.2;
04/08/2023;05:45:00;0             ;242             ;48.2;
04/08/2023;06:00:00;0             ;241             ;47.1;
04/08/2023;06:15:00;0             ;241             ;47.1;
04/08/2023;06:30:00;0             ;240             ;46.1;
04/08/2023;06:45:00;0             ;240             ;46.1;
04/08/2023;07:00:00;0             ;240             ;46.1;
04/08/2023;07:15:00;0             ;239             ;45.1;
04/08/2023;07:30:00;0             ;238             ;44;
04/08/2023;07:45:00;0             ;237             ;43;
04/08/2023;08:00:00;0             ;237             ;43;
04/08/2023;08:15:00;0             ;236             ;42;
04/08/2023;08:30:00;0             ;236             ;42;
04/08/2023;08:45:00;0             ;235             ;41;
04/08/2023;09:00:00;0             ;235             ;41;
04/08/2023;09:15:00;0             ;234             ;40.1;
04/08/2023;09:30:00;0             ;234             ;40.1;
04/08/2023;09:45:00;0             ;233             ;39.1;
04/08/2023;10:00:00;0             ;235             ;41;
04/08/2023;10:15:00;0             ;241             ;47.1;
04/08/2023;10:30:00;0             ;251             ;58;
04/08/2023;10:45:00;0             ;264             ;73.5;
04/08/2023;11:00:00;0             ;277             ;90.5;
04/08/2023;11:15:00;0             ;289             ;107.5;
04/08/2023;11:30:00;0             ;300             ;124.2;
04/08/2023;11:45:00;0             ;307             ;135.3;
04/08/2023;12:00:00;0             ;314             ;146.8;
04/08/2023;12:15:00;0             ;319             ;155.3;
04/08/2023;12:30:00;0             ;323             ;162.2;
04/08/2023;12:45:00;0             ;326             ;167.5;
04/08/2023;13:00:00;0             ;328             ;171;
04/08/2023;13:15:00;0             ;329             ;172.8;
04/08/2023;13:30:00;0             ;330             ;174.6;
04/08/2023;13:45:00;0             ;331             ;176.4;
04/08/2023;14:00:00;0             ;332             ;178.2;
04/08/2023;14:15:00;0             ;332             ;178.2;
04/08/2023;14:30:00;0             ;333             ;180.1;
04/08/2023;14:45:00;0             ;333             ;180.1;
04/08/2023;15:00:00;0             ;333             ;180.1;
04/08/2023;15:15:00;0             ;333             ;180.1;
04/08/2023;15:30:00;0             ;333             ;180.1;
04/08/2023;15:45:00;0             ;333             ;180.1;
04/08/2023;16:00:00;0             ;334             ;181.9;
04/08/2023;16:15:00;0             ;333             ;180.1;
04/08/2023;16:30:00;0             ;333             ;180.1;
04/08/2023;16:45:00;0             ;334             ;181.9;
04/08/2023;17:00:00;0             ;333             ;180.1;
04/08/2023;17:15:00;0             ;334             ;181.9;
04/08/2023;17:30:00;0             ;333             ;180.1;
04/08/2023;17:45:00;0             ;333             ;180.1;
04/08/2023;18:00:00;0             ;334             ;181.9;
04/08/2023;18:15:00;0             ;334             ;181.9;
04/08/2023;18:30:00;0             ;333             ;180.1;
04/08/2023;18:45:00;0             ;333             ;180.1;
04/08/2023;19:00:00;0             ;333             ;180.1;
04/08/2023;19:15:00;0             ;333             ;180.1;
04/08/2023;19:30:00;0             ;333             ;180.1;
04/08/2023;19:45:00;0             ;333             ;180.1;
04/08/2023;20:00:00;0             ;333             ;180.1;
04/08/2023;20:15:00;0             ;333             ;180.1;
04/08/2023;20:30:00;0             ;333             ;180.1;
04/08/2023;20:45:00;0             ;333             ;180.1;
04/08/2023;21:00:00;0             ;333             ;180.1;
04/08/2023;21:15:00;0             ;335             ;183.7;
04/08/2023;21:30:00;0             ;336             ;185.6;
04/08/2023;21:45:00;0             ;337             ;187.4;
04/08/2023;22:00:00;0             ;337             ;187.4;
04/08/2023;22:15:00;0             ;338             ;189.3;
04/08/2023;22:30:00;0             ;338             ;189.3;
04/08/2023;22:45:00;0             ;338             ;189.3;
04/08/2023;23:00:00;0             ;338             ;189.3;
04/08/2023;23:15:00;0             ;337             ;187.4;
04/08/2023;23:30:00;0             ;337             ;187.4;
04/08/2023;23:45:00;0             ;336             ;185.6;
05/08/2023;00:00:00;0             ;336             ;185.6;
05/08/2023;00:15:00;0             ;336             ;185.6;
05/08/2023;00:30:00;0             ;337             ;187.4;
05/08/2023;00:45:00;0             ;338             ;189.3;
05/08/2023;01:00:00;0             ;335             ;183.7;
05/08/2023;01:15:00;0             ;328             ;171;
05/08/2023;01:30:00;0             ;319             ;155.3;
05/08/2023;01:45:00;0             ;309             ;138.6;
05/08/2023;02:00:00;0             ;298             ;121.1;
05/08/2023;02:15:00;0             ;289             ;107.5;
05/08/2023;02:30:00;0             ;280             ;94.7;
05/08/2023;02:45:00;0             ;273             ;85.1;
05/08/2023;03:00:00;0             ;266             ;76;
05/08/2023;03:15:00;0             ;261             ;69.8;
05/08/2023;03:30:00;0             ;256             ;63.8;
05/08/2023;03:45:00;0             ;251             ;58;
05/08/2023;04:00:00;0             ;248             ;54.6;
05/08/2023;04:15:00;0             ;245             ;51.3;
05/08/2023;04:30:00;0             ;242             ;48.2;
05/08/2023;04:45:00;0             ;240             ;46.1;
05/08/2023;05:00:00;0             ;239             ;45.1;
05/08/2023;05:15:00;0             ;237             ;43;
05/08/2023;05:30:00;0             ;236             ;42;
05/08/2023;05:45:00;0             ;235             ;41;
05/08/2023;06:00:00;0             ;234             ;40.1;
05/08/2023;06:15:00;0             ;233             ;39.1;
05/08/2023;06:30:00;0             ;232             ;38.2;
05/08/2023;06:45:00;0             ;231             ;37.2;
05/08/2023;07:00:00;0             ;231             ;37.2;
05/08/2023;07:15:00;0             ;230             ;36.3;
05/08/2023;07:30:00;0             ;230             ;36.3;
05/08/2023;07:45:00;0             ;229             ;35.3;
05/08/2023;08:00:00;0             ;229             ;35.3;
05/08/2023;08:15:00;0             ;229             ;35.3;
05/08/2023;08:30:00;0             ;229             ;35.3;
05/08/2023;08:45:00;0             ;229             ;35.3;
05/08/2023;09:00:00;0             ;229             ;35.3;
05/08/2023;09:15:00;0             ;229             ;35.3;
05/08/2023;09:30:00;0             ;229             ;35.3;
05/08/2023;09:45:00;0             ;228             ;34.4;
05/08/2023;10:00:00;0             ;228             ;34.4;
05/08/2023;10:15:00;0             ;229             ;35.3;
05/08/2023;10:30:00;0             ;228             ;34.4;
05/08/2023;10:45:00;0             ;228             ;34.4;
05/08/2023;11:00:00;0             ;228             ;34.4;
05/08/2023;11:15:00;0             ;228             ;34.4;
05/08/2023;11:30:00;0             ;228             ;34.4;
05/08/2023;11:45:00;0             ;228             ;34.4;
05/08/2023;12:00:00;0             ;228             ;34.4;
05/08/2023;12:15:00;0             ;228             ;34.4;
05/08/2023;12:30:00;0             ;228             ;34.4;
05/08/2023;12:45:00;0             ;230             ;36.3;
05/08/2023;13:00:00;0             ;234             ;40.1;
05/08/2023;13:15:00;0             ;240             ;46.1;
05/08/2023;13:30:00;0             ;247             ;53.5;
05/08/2023;13:45:00;0             ;254             ;61.4;
05/08/2023;14:00:00;0             ;261             ;69.8;
05/08/2023;14:15:00;0             ;267             ;77.3;
05/08/2023;14:30:00;0             ;272             ;83.8;
05/08/2023;14:45:00;0             ;276             ;89.2;
05/08/2023;15:00:00;0             ;279             ;93.3;
05/08/2023;15:15:00;0             ;281             ;96.1;
05/08/2023;15:30:00;0             ;283             ;98.9;
05/08/2023;15:45:00;0             ;285             ;101.7;
05/08/2023;16:00:00;0             ;286             ;103.2;
05/08/2023;16:15:00;0             ;287             ;104.6;
05/08/2023;16:30:00;0             ;287             ;104.6;
05/08/2023;16:45:00;0             ;288             ;106.1;
05/08/2023;17:00:00;0             ;288             ;106.1;
05/08/2023;17:15:00;0             ;289             ;107.5;
05/08/2023;17:30:00;0             ;292             ;112;
05/08/2023;17:45:00;0             ;296             ;118;
05/08/2023;18:00:00;0             ;301             ;125.8;
05/08/2023;18:15:00;0             ;307             ;135.3;
05/08/2023;18:30:00;0             ;313             ;145.2;
05/08/2023;18:45:00;0             ;317             ;151.9;
05/08/2023;19:00:00;0             ;321             ;158.7;
05/08/2023;19:15:00;0             ;324             ;164;
05/08/2023;19:30:00;0             ;326             ;167.5;
05/08/2023;19:45:00;0             ;328             ;171;
05/08/2023;20:00:00;0             ;329             ;172.8;
05/08/2023;20:15:00;0             ;330             ;174.6;
05/08/2023;20:30:00;0             ;331             ;176.4;
05/08/2023;20:45:00;0             ;332             ;178.2;
05/08/2023;21:00:00;0             ;332             ;178.2;
05/08/2023;21:15:00;0             ;333             ;180.1;
05/08/2023;21:30:00;0             ;333             ;180.1;
05/08/2023;21:45:00;0             ;333             ;180.1;
05/08/2023;22:00:00;0             ;333             ;180.1;
05/08/2023;22:15:00;0             ;332             ;178.2;
05/08/2023;22:30:00;0             ;333             ;180.1;
05/08/2023;22:45:00;0             ;333             ;180.1;
05/08/2023;23:00:00;0             ;334             ;181.9;
05/08/2023;23:15:00;0             ;333             ;180.1;
05/08/2023;23:30:00;0             ;333             ;180.1;
05/08/2023;23:45:00;0             ;333             ;180.1;
06/08/2023;00:00:00;0             ;333             ;180.1;
06/08/2023;00:15:00;0             ;333             ;180.1;
06/08/2023;00:30:00;0             ;333             ;180.1;
06/08/2023;00:45:00;0             ;333             ;180.1;
06/08/2023;01:00:00;0             ;333             ;180.1;
06/08/2023;01:15:00;0             ;334             ;181.9;
06/08/2023;01:30:00;0             ;333             ;180.1;
06/08/2023;01:45:00;0             ;333             ;180.1;
06/08/2023;02:00:00;0             ;333             ;180.1;
06/08/2023;02:15:00;0             ;333             ;180.1;
06/08/2023;02:30:00;0             ;333             ;180.1;
06/08/2023;02:45:00;0             ;331             ;176.4;
06/08/2023;03:00:00;0             ;326             ;167.5;
06/08/2023;03:15:00;0             ;321             ;158.7;
06/08/2023;03:30:00;0             ;315             ;148.5;
06/08/2023;03:45:00;0             ;310             ;140.2;
06/08/2023;04:00:00;0             ;304             ;130.5;
06/08/2023;04:15:00;0             ;300             ;124.2;
06/08/2023;04:30:00;0             ;296             ;118;
06/08/2023;04:45:00;0             ;293             ;113.5;
06/08/2023;05:00:00;0             ;290             ;109;
06/08/2023;05:15:00;0             ;289             ;107.5;
06/08/2023;05:30:00;0             ;287             ;104.6;
06/08/2023;05:45:00;0             ;286             ;103.2;
06/08/2023;06:00:00;0             ;285             ;101.7;
06/08/2023;06:15:00;0             ;284             ;100.3;
06/08/2023;06:30:00;0             ;284             ;100.3;
06/08/2023;06:45:00;0             ;283             ;98.9;
06/08/2023;07:00:00;0             ;283             ;98.9;
06/08/2023;07:15:00;0             ;282             ;97.5;
06/08/2023;07:30:00;0             ;282             ;97.5;
06/08/2023;07:45:00;0             ;282             ;97.5;
06/08/2023;08:00:00;0             ;282             ;97.5;
06/08/2023;08:15:00;0             ;282             ;97.5;
06/08/2023;08:30:00;0             ;282             ;97.5;
06/08/2023;08:45:00;0             ;280             ;94.7;
06/08/2023;09:00:00;0             ;278             ;91.9;
06/08/2023;09:15:00;0             ;274             ;86.5;
06/08/2023;09:30:00;0             ;270             ;81.2;
06/08/2023;09:45:00;0             ;266             ;76;
06/08/2023;10:00:00;0             ;262             ;71;
06/08/2023;10:15:00;0             ;257             ;64.9;
06/08/2023;10:30:00;0             ;254             ;61.4;
06/08/2023;10:45:00;0             ;250             ;56.9;
06/08/2023;11:00:00;0             ;247             ;53.5;
06/08/2023;11:15:00;0             ;244             ;50.3;
06/08/2023;11:30:00;0             ;242             ;48.2;
06/08/2023;11:45:00;0             ;240             ;46.1;
06/08/2023;12:00:00;0             ;238             ;44;
06/08/2023;12:15:00;0             ;237             ;43;
06/08/2023;12:30:00;0             ;236             ;42;
06/08/2023;12:45:00;0             ;235             ;41;
06/08/2023;13:00:00;0             ;234             ;40.1;
06/08/2023;13:15:00;0             ;233             ;39.1;
06/08/2023;13:30:00;0             ;232             ;38.2;
09/08/2023;12:45:00;             ;295             ;116.5;
